Pclass,Sex,Age,Fare,Embarked,Familysize,Isalone,HasCabin,Title,Pclass_Fare,Age_Fare,Survived
1,0,37.0,52.5542,2,3,0,1,0.0,52.5542,1944.5054,1
2,0,47.0,15.0,2,1,1,0,0.0,30.0,705.0,0
3,1,15.0,7.225,0,1,1,0,1.0,21.674999999999997,108.375,1
2,0,23.0,10.5,2,1,1,0,4.0,21.0,241.5,0
3,0,25.0,7.775,2,2,0,0,0.0,23.325000000000003,194.375,0
3,0,29.0,15.5,1,2,0,0,0.0,46.5,449.5,0
3,0,19.0,7.8958,2,1,1,0,0.0,23.6874,150.02020000000002,0
2,1,35.0,21.0,2,1,1,0,1.0,42.0,735.0,1
1,1,32.0,76.2917,0,1,1,1,1.0,76.2917,2441.3344,1
3,0,29.0,9.4833,2,1,1,0,0.0,28.4499,275.0157,0
1,1,44.0,27.7208,0,1,1,1,2.0,27.7208,1219.7152,1
3,0,29.0,7.75,1,1,1,1,0.0,23.25,224.75,0
1,0,27.0,30.5,2,1,1,0,0.0,30.5,823.5,1
2,0,43.0,26.25,2,3,0,0,0.0,52.5,1128.75,0
3,1,29.0,16.1,2,2,0,0,2.0,48.300000000000004,466.90000000000003,1
3,0,21.0,7.925,2,1,1,0,0.0,23.775,166.42499999999998,0
3,0,39.0,24.15,2,1,1,0,0.0,72.44999999999999,941.8499999999999,0
3,1,25.0,7.775,2,1,1,0,1.0,23.325000000000003,194.375,0
3,0,24.5,8.05,2,1,1,0,0.0,24.150000000000002,197.22500000000002,0
3,0,29.0,7.875,2,1,1,0,0.0,23.625,228.375,0
1,0,29.0,35.5,2,1,1,1,0.0,35.5,1029.5,1
1,0,28.0,35.5,2,1,1,1,0.0,35.5,994.0,1
1,0,45.5,28.5,2,1,1,1,0.0,28.5,1296.75,0
1,0,48.0,26.55,2,1,1,1,0.0,26.55,1274.4,1
3,0,6.0,12.475,2,2,0,1,3.0,37.425,74.85,1
1,1,38.0,71.2833,0,2,0,1,2.0,71.2833,2708.7653999999998,1
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
3,1,16.0,46.9,2,8,0,0,1.0,140.7,750.4,0
3,0,20.0,7.925,2,1,1,0,0.0,23.775,158.5,0
3,0,16.0,20.25,2,3,0,0,0.0,60.75,324.0,0
3,1,29.0,23.45,2,4,0,0,1.0,70.35,680.05,0
3,0,24.0,7.1417,2,1,1,0,0.0,21.4251,171.4008,1
1,1,19.0,30.0,2,1,1,1,1.0,30.0,570.0,1
3,0,36.0,7.8958,2,1,1,0,0.0,23.6874,284.2488,0
3,0,35.0,8.05,2,1,1,0,0.0,24.150000000000002,281.75,0
3,0,20.0,7.05,2,1,1,0,0.0,21.15,141.0,0
1,1,40.0,134.5,0,3,0,1,2.0,134.5,5380.0,1
3,0,29.0,7.775,2,1,1,0,0.0,23.325000000000003,225.47500000000002,1
1,1,16.0,86.5,2,1,1,1,1.0,86.5,1384.0,1
3,1,41.0,20.2125,2,3,0,0,2.0,60.637499999999996,828.7125,0
3,0,19.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,1,31.0,7.8542,2,1,1,0,1.0,23.5626,243.4802,0
3,0,29.0,9.5,2,1,1,0,0.0,28.5,275.5,0
3,0,35.0,7.125,2,1,1,0,0.0,21.375,249.375,0
3,0,29.0,69.55,2,11,0,0,0.0,208.64999999999998,2016.9499999999998,0
1,0,4.0,81.8583,2,3,0,1,3.0,81.8583,327.4332,1
3,0,20.0,7.925,2,2,0,0,0.0,23.775,158.5,1
3,1,8.0,21.075,2,5,0,0,1.0,63.224999999999994,168.6,0
3,0,18.0,7.75,2,1,1,0,0.0,23.25,139.5,0
3,0,34.0,8.05,2,1,1,0,0.0,24.150000000000002,273.70000000000005,0
2,0,2.0,26.0,2,3,0,1,3.0,52.0,52.0,1
3,1,29.0,7.55,2,1,1,0,1.0,22.65,218.95,0
2,0,32.5,30.0708,0,2,0,0,0.0,60.1416,977.3009999999999,0
3,1,13.0,7.2292,0,1,1,0,1.0,21.6876,93.97959999999999,1
3,0,29.0,15.2458,0,3,0,0,3.0,45.737399999999994,442.1282,1
3,0,30.0,16.1,2,2,0,0,0.0,48.300000000000004,483.00000000000006,0
2,1,45.0,26.25,2,3,0,0,2.0,52.5,1181.25,1
3,1,29.0,7.2292,0,1,1,0,2.0,21.6876,209.64679999999998,1
2,0,42.0,13.0,2,1,1,0,0.0,26.0,546.0,1
1,0,17.0,110.8833,0,3,0,1,0.0,110.8833,1885.0161,1
1,0,29.0,27.7208,0,1,1,0,0.0,27.7208,803.9032,0
3,0,26.0,18.7875,0,1,1,0,0.0,56.362500000000004,488.475,1
3,0,33.0,7.8958,0,1,1,0,0.0,23.6874,260.5614,0
2,1,29.0,10.5,2,1,1,1,2.0,21.0,304.5,1
1,0,52.0,79.65,2,3,0,1,0.0,79.65,4141.8,0
3,0,22.0,7.5208,2,1,1,0,0.0,22.5624,165.4576,0
3,0,65.0,7.75,1,1,1,0,0.0,23.25,503.75,0
3,1,18.0,7.775,2,1,1,0,1.0,23.325000000000003,139.95000000000002,0
3,0,42.0,8.6625,2,1,1,0,0.0,25.987499999999997,363.825,0
1,1,54.0,59.4,0,2,0,0,2.0,59.4,3207.6,1
3,0,32.0,8.05,2,1,1,1,0.0,24.150000000000002,257.6,1
3,0,29.0,7.775,2,1,1,0,0.0,23.325000000000003,225.47500000000002,0
3,0,3.0,15.9,2,3,0,0,3.0,47.7,47.7,1
3,1,29.0,69.55,2,11,0,0,1.0,208.64999999999998,2016.9499999999998,0
2,0,33.0,12.275,2,1,1,0,0.0,24.55,405.075,0
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
3,0,21.0,7.8542,2,1,1,0,0.0,23.5626,164.9382,0
1,0,29.0,25.925,2,1,1,0,0.0,25.925,751.825,0
1,1,43.0,211.3375,2,2,0,1,2.0,211.3375,9087.5125,1
2,1,3.0,41.5792,0,4,0,0,1.0,83.1584,124.7376,1
3,0,26.0,7.8542,2,2,0,0,0.0,23.5626,204.20919999999998,0
3,0,38.0,7.8958,2,1,1,0,0.0,23.6874,300.04040000000003,0
3,1,29.0,7.75,1,1,1,0,1.0,23.25,224.75,1
3,0,29.0,7.75,1,2,0,0,0.0,23.25,224.75,0
1,0,55.0,30.5,2,1,1,1,0.0,30.5,1677.5,0
1,0,51.0,26.55,2,1,1,1,0.0,26.55,1354.05,1
1,0,25.0,55.4417,0,2,0,1,0.0,55.4417,1386.0425,1
3,0,43.0,8.05,2,1,1,0,0.0,24.150000000000002,346.15000000000003,0
1,1,30.0,106.425,0,1,1,0,1.0,106.425,3192.75,1
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
3,0,29.0,7.8958,0,1,1,0,0.0,23.6874,228.97820000000002,1
3,0,29.0,56.4958,2,1,1,0,0.0,169.4874,1638.3782,1
1,0,27.0,211.5,0,3,0,1,0.0,211.5,5710.5,0
1,0,45.0,35.5,2,1,1,1,0.0,35.5,1597.5,0
2,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,0,31.0,7.75,1,1,1,0,0.0,23.25,240.25,0
3,1,30.0,12.475,2,1,1,0,1.0,37.425,374.25,1
3,1,5.0,31.3875,2,7,0,0,1.0,94.1625,156.9375,1
1,1,17.0,108.9,0,2,0,1,2.0,108.9,1851.3000000000002,1
3,0,32.0,7.925,2,1,1,0,0.0,23.775,253.6,0
3,0,30.0,7.25,2,1,1,0,0.0,21.75,217.5,0
3,0,22.0,7.25,2,1,1,0,0.0,21.75,159.5,0
2,1,54.0,23.0,2,5,0,0,2.0,46.0,1242.0,1
1,1,14.0,120.0,2,4,0,1,1.0,120.0,1680.0,1
1,1,39.0,110.8833,0,3,0,1,2.0,110.8833,4324.4487,1
3,0,23.5,7.2292,0,1,1,0,0.0,21.6876,169.8862,0
2,1,27.0,13.8583,0,2,0,0,1.0,27.7166,374.1741,1
3,1,38.0,31.3875,2,7,0,0,2.0,94.1625,1192.725,1
1,0,22.0,135.6333,0,1,1,0,0.0,135.6333,2983.9325999999996,0
3,0,9.0,15.9,2,3,0,0,3.0,47.7,143.1,1
3,1,21.0,9.825,2,2,0,0,1.0,29.474999999999998,206.325,0
3,0,29.0,7.25,2,1,1,0,0.0,21.75,210.25,0
3,0,29.0,7.75,1,1,1,0,0.0,23.25,224.75,0
3,0,29.0,15.5,1,1,1,0,0.0,46.5,449.5,0
3,1,39.0,31.275,2,7,0,0,2.0,93.82499999999999,1219.725,0
2,1,24.0,65.0,2,4,0,0,1.0,130.0,1560.0,1
3,1,29.0,7.75,1,1,1,0,1.0,23.25,224.75,1
3,0,22.0,7.25,2,1,1,0,0.0,21.75,159.5,0
3,1,24.0,8.85,2,1,1,0,1.0,26.549999999999997,212.39999999999998,0
3,0,44.0,7.925,2,1,1,0,0.0,23.775,348.7,1
3,0,38.0,7.05,2,1,1,0,0.0,21.15,267.9,0
3,0,29.0,7.225,0,1,1,0,0.0,21.674999999999997,209.52499999999998,0
2,1,42.0,13.0,2,1,1,0,2.0,26.0,546.0,1
2,0,54.0,26.0,2,1,1,0,0.0,52.0,1404.0,0
2,0,28.0,13.0,2,1,1,0,0.0,26.0,364.0,0
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
1,0,28.0,47.1,2,1,1,0,0.0,47.1,1318.8,0
2,1,33.0,26.0,2,3,0,0,2.0,52.0,858.0,1
3,0,21.0,7.25,2,1,1,0,0.0,21.75,152.25,0
2,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
2,0,50.0,13.0,2,1,1,0,0.0,26.0,650.0,0
3,0,33.0,9.5,2,1,1,0,0.0,28.5,313.5,0
1,1,22.0,55.0,2,2,0,1,1.0,55.0,1210.0,1
3,0,29.0,7.3125,2,1,1,0,0.0,21.9375,212.0625,0
1,0,62.0,26.55,2,1,1,0,0.0,26.55,1646.1000000000001,0
3,1,29.0,7.7875,1,1,1,0,1.0,23.362499999999997,225.83749999999998,1
3,0,43.0,6.45,2,1,1,0,0.0,19.35,277.35,0
3,0,29.0,7.725,1,1,1,0,0.0,23.174999999999997,224.02499999999998,0
3,0,29.0,7.25,2,1,1,0,0.0,21.75,210.25,0
1,0,38.0,153.4625,2,2,0,1,0.0,153.4625,5831.575,0
3,0,51.0,7.0542,2,1,1,0,0.0,21.162599999999998,359.7642,0
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
2,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,1,24.0,15.85,2,2,0,0,2.0,47.55,380.4,1
3,0,50.0,8.05,2,1,1,0,0.0,24.150000000000002,402.50000000000006,0
3,0,21.0,7.775,2,1,1,0,0.0,23.325000000000003,163.275,0
3,0,29.0,7.0458,2,2,0,0,0.0,21.1374,204.32819999999998,0
2,0,54.0,26.0,2,2,0,0,4.0,52.0,1404.0,0
2,1,19.0,26.0,2,1,1,0,1.0,52.0,494.0,1
2,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,1,29.0,7.8792,1,1,1,0,1.0,23.6376,228.4968,1
1,1,30.0,31.0,0,1,1,0,1.0,31.0,930.0,1
1,0,60.0,26.55,2,1,1,0,4.0,26.55,1593.0,0
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
3,0,29.0,7.8958,0,1,1,0,0.0,23.6874,228.97820000000002,0
2,1,2.0,26.0,2,3,0,0,1.0,52.0,52.0,1
3,1,29.0,7.7375,1,1,1,0,1.0,23.2125,224.3875,1
3,0,21.0,7.7958,2,1,1,0,0.0,23.3874,163.71179999999998,1
1,0,36.0,78.85,2,2,0,1,0.0,78.85,2838.6,0
3,0,32.0,7.75,1,1,1,0,0.0,23.25,248.0,0
1,1,53.0,51.4792,2,3,0,1,2.0,51.4792,2728.3976,1
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
1,0,35.0,26.55,0,1,1,0,0.0,26.55,929.25,1
3,0,16.0,18.0,2,3,0,0,0.0,54.0,288.0,0
3,1,22.0,7.775,2,1,1,0,1.0,23.325000000000003,171.05,1
3,0,30.0,7.2292,0,1,1,0,0.0,21.6876,216.87599999999998,0
1,1,19.0,26.2833,2,3,0,1,1.0,26.2833,499.3827,1
3,0,36.0,0.0,2,1,1,0,0.0,0.0,0.0,0
2,0,31.0,10.5,2,1,1,0,0.0,21.0,325.5,0
2,1,28.0,13.0,2,1,1,0,1.0,26.0,364.0,1
3,0,20.0,9.5,2,1,1,0,0.0,28.5,190.0,0
3,0,29.0,8.4583,1,1,1,0,0.0,25.374899999999997,245.2907,0
3,1,29.0,14.4542,0,2,0,0,1.0,43.3626,419.1718,0
1,0,29.0,50.0,2,1,1,1,0.0,50.0,1450.0,0
1,1,35.0,90.0,2,2,0,1,2.0,90.0,3150.0,1
1,1,47.0,52.5542,2,3,0,1,2.0,52.5542,2470.0474,1
1,1,18.0,227.525,0,2,0,1,2.0,227.525,4095.4500000000003,1
1,0,29.0,66.6,2,2,0,1,0.0,66.6,1931.3999999999999,0
3,1,39.0,29.125,1,6,0,0,2.0,87.375,1135.875,0
1,0,44.0,90.0,1,3,0,1,4.0,90.0,3960.0,0
2,0,26.0,10.5,2,1,1,0,0.0,21.0,273.0,0
1,0,56.0,35.5,0,1,1,1,4.0,35.5,1988.0,1
2,0,1.0,39.0,2,4,0,1,3.0,78.0,39.0,1
3,0,0.42,8.5167,0,2,0,0,3.0,25.5501,3.577014,1
3,1,19.0,7.8542,2,2,0,0,1.0,23.5626,149.22979999999998,1
3,0,25.0,17.8,2,2,0,0,0.0,53.400000000000006,445.0,0
3,1,9.0,15.2458,0,3,0,0,1.0,45.737399999999994,137.2122,0
3,1,29.0,69.55,2,11,0,0,1.0,208.64999999999998,2016.9499999999998,0
2,0,23.0,13.0,2,1,1,0,0.0,26.0,299.0,0
2,0,25.0,41.5792,0,4,0,0,0.0,83.1584,1039.48,0
2,0,44.0,26.0,2,2,0,0,0.0,52.0,1144.0,0
3,0,24.0,7.8958,2,1,1,0,0.0,23.6874,189.4992,0
2,1,50.0,10.5,2,1,1,0,1.0,21.0,525.0,1
3,0,22.0,9.35,2,1,1,0,0.0,28.049999999999997,205.7,0
3,0,41.0,7.125,2,1,1,0,0.0,21.375,292.125,0
1,1,2.0,151.55,2,4,0,1,1.0,151.55,303.1,0
3,0,24.0,16.1,2,2,0,0,0.0,48.300000000000004,386.40000000000003,0
1,0,29.0,27.7208,0,1,1,0,0.0,27.7208,803.9032,0
3,1,29.0,15.5,1,2,0,0,2.0,46.5,449.5,1
2,0,24.0,13.0,2,1,1,0,0.0,26.0,312.0,0
2,0,29.0,15.05,0,1,1,0,0.0,30.1,436.45000000000005,0
1,0,19.0,263.0,2,6,0,1,0.0,263.0,4997.0,0
3,0,45.5,7.225,0,1,1,0,0.0,21.674999999999997,328.7375,0
3,0,22.0,8.05,2,1,1,0,0.0,24.150000000000002,177.10000000000002,0
1,0,47.0,25.5875,2,1,1,1,0.0,25.5875,1202.6125,0
3,1,47.0,14.5,2,2,0,0,2.0,43.5,681.5,0
3,0,17.0,8.6625,2,1,1,0,0.0,25.987499999999997,147.2625,0
3,0,29.0,25.4667,2,5,0,0,3.0,76.4001,738.5343,0
3,0,18.0,7.8542,2,3,0,0,0.0,23.5626,141.3756,0
3,1,27.0,7.925,2,1,1,0,1.0,23.775,213.975,1
1,1,39.0,79.65,2,3,0,1,2.0,79.65,3106.3500000000004,1
3,0,29.0,16.1,2,2,0,0,0.0,48.300000000000004,466.90000000000003,0
1,1,29.0,133.65,2,2,0,0,2.0,133.65,3875.8500000000004,1
3,0,9.0,31.3875,2,7,0,0,3.0,94.1625,282.4875,0
3,0,44.0,8.05,2,1,1,0,0.0,24.150000000000002,354.20000000000005,0
1,0,31.0,52.0,2,2,0,1,0.0,52.0,1612.0,0
3,1,18.0,6.75,1,1,1,0,1.0,20.25,121.5,0
2,0,19.0,10.5,2,1,1,0,0.0,21.0,199.5,0
1,1,25.0,151.55,2,4,0,1,2.0,151.55,3788.7500000000005,0
2,0,3.0,18.75,2,3,0,0,3.0,37.5,56.25,1
3,0,36.0,7.4958,2,1,1,0,0.0,22.4874,269.8488,0
3,1,24.0,16.7,2,3,0,1,2.0,50.099999999999994,400.79999999999995,1
3,0,29.0,7.225,0,1,1,0,0.0,21.674999999999997,209.52499999999998,0
1,1,60.0,75.25,0,2,0,1,2.0,75.25,4515.0,1
3,0,15.0,7.2292,0,3,0,0,0.0,21.6876,108.43799999999999,0
3,0,26.0,14.4542,0,2,0,0,0.0,43.3626,375.80920000000003,0
2,1,25.0,26.0,2,2,0,0,2.0,52.0,650.0,1
3,1,45.0,7.75,2,1,1,0,1.0,23.25,348.75,0
3,1,22.0,10.5167,2,1,1,0,1.0,31.5501,231.3674,0
2,1,36.0,13.0,2,1,1,0,1.0,26.0,468.0,1
3,1,20.0,8.6625,2,1,1,0,1.0,25.987499999999997,173.25,0
3,1,29.0,8.05,2,1,1,0,1.0,24.150000000000002,233.45000000000002,0
3,0,61.0,6.2375,2,1,1,0,0.0,18.7125,380.4875,0
3,1,20.0,9.825,2,2,0,0,1.0,29.474999999999998,196.5,0
3,0,21.0,16.1,2,1,1,0,0.0,48.300000000000004,338.1,0
3,0,29.0,8.7125,0,1,1,0,0.0,26.137500000000003,252.66250000000002,0
1,1,40.0,153.4625,2,1,1,1,1.0,153.4625,6138.5,1
3,0,29.0,69.55,2,11,0,0,3.0,208.64999999999998,2016.9499999999998,0
2,0,0.83,18.75,2,3,0,0,3.0,37.5,15.5625,1
3,1,29.0,10.4625,2,3,0,1,2.0,31.387500000000003,303.4125,0
2,1,32.0,13.0,2,1,1,0,2.0,26.0,416.0,1
3,0,35.0,7.05,2,1,1,0,0.0,21.15,246.75,0
3,0,44.0,8.05,2,1,1,0,0.0,24.150000000000002,354.20000000000005,0
1,1,29.0,52.0,2,2,0,1,2.0,52.0,1508.0,1
1,0,56.0,30.6958,0,1,1,1,0.0,30.6958,1718.9648,0
1,0,49.0,110.8833,0,3,0,1,0.0,110.8833,5433.2817000000005,0
2,0,62.0,10.5,2,1,1,0,0.0,21.0,651.0,1
3,0,25.0,7.05,2,1,1,0,0.0,21.15,176.25,0
3,0,18.0,7.775,2,1,1,0,0.0,23.325000000000003,139.95000000000002,0
3,1,18.0,17.8,2,2,0,0,2.0,53.400000000000006,320.40000000000003,0
3,0,32.0,15.85,2,2,0,0,0.0,47.55,507.2,0
3,0,12.0,11.2417,0,2,0,0,3.0,33.7251,134.9004,1
1,0,29.0,35.0,2,1,1,1,0.0,35.0,1015.0,0
2,0,29.0,27.7208,0,2,0,0,0.0,55.4416,803.9032,0
2,0,3.0,26.0,2,3,0,1,3.0,52.0,78.0,1
3,0,11.0,18.7875,0,1,1,0,0.0,56.362500000000004,206.66250000000002,0
3,0,27.0,7.7958,2,1,1,0,0.0,23.3874,210.4866,1
3,0,34.0,14.4,2,3,0,0,0.0,43.2,489.6,0
1,1,36.0,135.6333,0,1,1,1,1.0,135.6333,4882.7988,1
2,0,31.0,26.25,2,3,0,0,0.0,52.5,813.75,0
3,0,28.0,7.7958,2,1,1,0,0.0,23.3874,218.2824,0
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
2,0,27.0,26.0,2,1,1,0,0.0,52.0,702.0,0
3,0,28.0,15.85,2,2,0,0,0.0,47.55,443.8,0
3,0,29.0,6.95,1,1,1,0,0.0,20.85,201.55,0
2,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
1,1,23.0,113.275,0,2,0,1,1.0,113.275,2605.3250000000003,1
3,0,41.0,14.1083,2,3,0,0,0.0,42.3249,578.4403,0
1,0,32.0,30.5,0,1,1,1,4.0,30.5,976.0,1
3,1,17.0,7.925,2,7,0,0,1.0,23.775,134.725,1
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
3,1,33.0,15.85,2,4,0,0,2.0,47.55,523.05,1
3,0,24.0,24.15,2,3,0,0,0.0,72.44999999999999,579.5999999999999,0
3,1,29.0,69.55,2,11,0,0,1.0,208.64999999999998,2016.9499999999998,0
2,1,29.0,26.0,2,2,0,0,2.0,52.0,754.0,1
2,0,39.0,13.0,2,1,1,0,0.0,26.0,507.0,0
2,1,41.0,19.5,2,2,0,0,2.0,39.0,799.5,1
3,0,17.0,7.2292,0,3,0,0,0.0,21.6876,122.8964,0
3,0,29.0,7.2292,0,1,1,0,0.0,21.6876,209.64679999999998,0
3,0,18.0,8.3,2,1,1,0,0.0,24.900000000000002,149.4,0
1,0,29.0,0.0,2,1,1,0,0.0,0.0,0.0,0
3,0,19.0,14.5,2,1,1,0,0.0,43.5,275.5,0
3,1,26.0,7.925,2,1,1,0,1.0,23.775,206.04999999999998,1
1,1,58.0,153.4625,2,2,0,1,2.0,153.4625,8900.825,1
3,0,47.0,9.0,2,1,1,0,0.0,27.0,423.0,0
1,0,27.0,53.1,2,2,0,1,0.0,53.1,1433.7,1
3,1,17.0,14.4583,0,1,1,0,1.0,43.3749,245.7911,0
3,1,21.0,7.65,2,1,1,0,1.0,22.950000000000003,160.65,1
1,0,29.0,30.6958,0,1,1,0,0.0,30.6958,890.1782,0
1,1,36.0,120.0,2,4,0,1,2.0,120.0,4320.0,1
3,0,26.0,7.8875,2,1,1,0,0.0,23.6625,205.07500000000002,0
3,1,1.0,15.7417,0,3,0,0,1.0,47.2251,15.7417,1
1,0,51.0,61.3792,0,2,0,0,0.0,61.3792,3130.3392,0
2,1,40.0,13.0,2,1,1,0,1.0,26.0,520.0,1
1,1,22.0,151.55,2,1,1,0,1.0,151.55,3334.1000000000004,1
2,1,27.0,10.5,2,1,1,1,1.0,21.0,283.5,1
1,1,24.0,263.0,2,6,0,1,1.0,263.0,6312.0,1
3,0,29.0,7.8958,2,1,1,0,0.0,23.6874,228.97820000000002,0
3,1,43.0,46.9,2,8,0,0,2.0,140.7,2016.7,0
2,0,31.0,13.0,2,1,1,0,0.0,26.0,403.0,1
3,0,25.0,7.7417,1,1,1,0,0.0,23.225099999999998,193.5425,0
2,0,25.0,13.0,2,1,1,0,0.0,26.0,325.0,0
1,1,49.0,25.9292,2,1,1,1,4.0,25.9292,1270.5308,1
1,1,39.0,55.9,2,2,0,1,2.0,55.9,2180.1,1
3,1,25.0,7.925,2,2,0,0,1.0,23.775,198.125,0
1,1,50.0,247.5208,0,2,0,1,2.0,247.5208,12376.04,1
1,0,29.0,31.0,2,1,1,0,0.0,31.0,899.0,0
2,1,42.0,26.0,2,2,0,0,2.0,52.0,1092.0,1
3,0,29.0,21.6792,0,3,0,0,0.0,65.0376,628.6968,0
2,0,60.0,39.0,2,3,0,0,0.0,78.0,2340.0,0
2,0,70.0,10.5,2,1,1,0,0.0,21.0,735.0,0
3,1,18.0,9.8417,2,1,1,0,1.0,29.5251,177.1506,1
2,1,29.0,12.35,1,1,1,1,1.0,24.7,358.15,1
2,0,30.0,13.0,2,1,1,0,0.0,26.0,390.0,0
1,0,61.0,33.5,2,1,1,1,0.0,33.5,2043.5,0
1,0,33.0,5.0,2,1,1,1,0.0,5.0,165.0,0
3,0,27.0,14.4542,0,2,0,0,0.0,43.3626,390.2634,0
1,0,65.0,61.9792,0,2,0,1,0.0,61.9792,4028.648,0
3,0,21.0,7.8,2,1,1,0,0.0,23.4,163.79999999999998,0
3,1,16.0,7.7333,1,1,1,0,1.0,23.1999,123.7328,1
2,0,39.0,13.0,2,1,1,0,0.0,26.0,507.0,0
1,1,33.0,86.5,2,1,1,1,4.0,86.5,2854.5,1
3,0,29.0,7.2292,0,1,1,0,0.0,21.6876,209.64679999999998,0
3,1,29.0,15.5,1,2,0,0,1.0,46.5,449.5,1
2,1,23.0,13.7917,0,1,1,1,2.0,27.5834,317.20910000000003,1
1,1,33.0,53.1,2,2,0,1,2.0,53.1,1752.3,1
1,1,49.0,76.7292,0,2,0,1,2.0,76.7292,3759.7308000000003,1
3,1,4.0,13.4167,0,2,0,0,1.0,40.2501,53.6668,1
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
3,0,29.0,7.75,1,1,1,0,0.0,23.25,224.75,0
2,1,29.0,33.0,2,1,1,0,1.0,66.0,957.0,1
3,1,5.0,12.475,2,1,1,0,1.0,37.425,62.375,1
2,1,22.0,41.5792,0,4,0,0,2.0,83.1584,914.7424,1
2,0,34.0,26.0,2,2,0,0,0.0,52.0,884.0,0
3,0,40.0,27.9,2,6,0,0,0.0,83.69999999999999,1116.0,0
1,0,64.0,263.0,2,6,0,1,0.0,263.0,16832.0,0
3,0,29.0,7.8958,0,1,1,0,0.0,23.6874,228.97820000000002,0
3,1,29.0,7.75,1,1,1,0,1.0,23.25,224.75,1
2,0,51.0,12.525,2,1,1,0,4.0,25.05,638.775,0
3,1,19.0,7.8792,1,1,1,0,1.0,23.6376,149.7048,1
3,0,33.0,20.525,2,3,0,0,0.0,61.574999999999996,677.3249999999999,0
3,0,26.0,7.8958,2,1,1,0,0.0,23.6874,205.29080000000002,0
1,1,52.0,78.2667,0,2,0,1,2.0,78.2667,4069.8684,1
3,0,29.0,7.2292,0,1,1,0,0.0,21.6876,209.64679999999998,0
2,1,4.0,23.0,2,3,0,0,1.0,46.0,92.0,1
2,0,24.0,73.5,2,3,0,0,0.0,147.0,1764.0,0
3,1,22.0,9.8375,2,1,1,0,1.0,29.512500000000003,216.425,0
1,0,23.0,63.3583,0,2,0,1,0.0,63.3583,1457.2409,1
2,0,1.0,37.0042,0,3,0,0,3.0,74.0084,37.0042,1
2,0,21.0,73.5,2,1,1,0,0.0,147.0,1543.5,0
2,0,52.0,13.5,2,1,1,0,0.0,27.0,702.0,0
3,0,28.0,7.8958,2,1,1,0,0.0,23.6874,221.0824,0
1,1,22.0,49.5,0,3,0,1,1.0,49.5,1089.0,1
3,1,0.75,19.2583,0,4,0,0,1.0,57.774899999999995,14.443724999999999,1
1,1,35.0,135.6333,2,1,1,1,1.0,135.6333,4747.1655,1
2,1,14.0,30.0708,0,2,0,0,2.0,60.1416,420.9912,1
2,1,18.0,13.0,2,3,0,0,1.0,26.0,234.0,1
1,0,54.0,77.2875,2,2,0,1,0.0,77.2875,4173.525,0
3,0,29.0,8.05,2,1,1,0,0.0,24.150000000000002,233.45000000000002,0
3,0,4.0,27.9,2,6,0,0,3.0,83.69999999999999,111.6,0
3,0,29.0,7.775,2,1,1,0,0.0,23.325000000000003,225.47500000000002,0
2,0,36.0,12.875,0,1,1,1,0.0,25.75,463.5,0
1,1,35.0,52.0,2,2,0,0,2.0,52.0,1820.0,1
3,1,29.0,16.1,2,2,0,0,2.0,48.300000000000004,466.90000000000003,1
3,0,18.0,7.7958,2,1,1,0,0.0,23.3874,140.3244,0
